Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1961","1961","t","4850000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1962","1962","t","5220000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1963","1963","t","4360000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1964","1964","t","5350000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1965","1965","t","5140000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1966","1966","t","7040000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1967","1967","t","8510000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1968","1968","t","6560000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1969","1969","t","6860000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1970","1970","t","9360000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1971","1971","t","9930000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1972","1972","t","5860000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1973","1973","t","9700000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1974","1974","t","9900000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1975","1975","t","7700000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1976","1976","t","5855000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1977","1977","t","8300000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1978","1978","t","9700000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1979","1979","t","8700000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1980","1980","t","6400000","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","0112","Maize (corn)","1981","1981","t","12900000","A","Official figure",""
